kabko,lat,long
 ACEH BARAT,4.4543,96.1527
 ACEH BARAT DAYA,3.7963,97.0068
 ACEH BESAR,5.4529,95.4778
 ACEH JAYA,4.7874,95.6458
 ACEH SELATAN,3.3115,97.3517
 ACEH SINGKIL,2.3589,97.8722
 ACEH TAMIANG,4.2329,98.0029
 ACEH TENGAH,4.4483,96.8351
 ACEH TENGGARA,3.3089,97.6982
 ACEH TIMUR,4.5224,97.6114
 ACEH UTARA,4.9786,97.2221
 BENER MERIAH,4.7514,96.9525
 BIREUEN,5.1086,96.6638
 GAYO LUES,3.9552,97.3517
 NAGAN RAYA,4.1248,96.493
 PIDIE,5.0743,95.941
 PIDIE JAYA,5.1548,96.1951
 SIMEULUE,2.644,96.0256
 BANDA ACEH,5.5483,95.3238
 LANGSA,4.4725,97.9756
 LHOKSEUMAWE,5.1812,97.1413
 SABANG,5.8926,95.3238
 SUBULUSSALAM,2.7121,97.9157
 ASAHAN,2.8175,99.6341
 BATUBARA,3.1741,99.5006
 DAIRI,2.8676,98.2651
 DELI SERDANG,3.4202,98.7041
 HUMBANG HASUNDUTAN,2.1989,98.5721
 KARO,3.1053,98.2651
 LABUHANBATU,2.344,100.1703
 LABUHANBATU SELATAN,1.8799,100.1703
 LABUHANBATU UTARA,2.3466,99.8125
 LANGKAT,3.8654,98.3088
 MANDAILING NATAL,0.7432,99.3673
 NIAS,1.0869,97.7417
 NIAS BARAT,1.0116,97.4814
 NIAS SELATAN,0.7086,97.8286
 NIAS UTARA,1.3166,97.3949
 PADANG LAWAS,1.1187,99.8125
 PADANG LAWAS UTARA,1.5759,99.6341
 PAKPAK BHARAT,2.5135,98.2213
 SAMOSIR,2.6274,98.7922
 SERDANG BEDAGAI,3.3372,99.0571
 SIMALUNGUN,2.9782,99.2786
 TAPANULI SELATAN,1.5775,99.2786
 TAPANULI TENGAH,1.8493,98.7041
 TAPANULI UTARA,2.0405,99.1013
 TOBA SAMOSIR,2.3502,99.2786
 BINJAI,3.6135,98.5025
 GUNUNGSITOLI,1.2805,97.6147
 MEDAN,3.5952,98.6722
 PADANGSIDEMPUAN,1.3722,99.273
 PEMATANGSIANTAR,2.97,99.0682
 SIBOLGA,1.7368,98.7851
 TANJUNGBALAI,2.9662,99.7985
 TEBING TINGGI,3.3263,99.1567
 AGAM,-0.2209,100.1703
 DHARMASRAYA,-1.1121,101.6158
 KEPULAUAN MENTAWAI,-1.426,98.9245
 LIMA PULUH ,0.0734,100.5296
 PADANG PARIAMAN,-0.5547,100.2152
 PASAMAN,0.2209,100.1703
 PASAMAN BARAT,0.2213,99.6341
 PESISIR SELATAN,-1.7223,100.8903
 SIJUNJUNG,-0.6647,101.0712
 SOLOK,-0.9644,100.8903
 SOLOK SELATAN,-1.4157,101.2524
 TANAH DATAR,-0.4797,100.5746
 BUKITTINGGI,-0.3039,100.3835
 PADANG,-0.9471,100.4172
 PADANGPANJANG,-0.4661,100.3984
 PARIAMAN,-0.6257,100.1233
 PAYAKUMBUH,-0.2298,100.6309
 SAWAHLUNTO,-0.6841,100.7323
